,Fvar,frequency,frequency_strength,slope,R,std,mean,median,name
450,,,,,,,,,661434926401-light-curves
451,,,,,,,,,661430471806-light-curves
452,,,,,,,,,120260161087-light-curves
453,,,,,,,,,137439881045-light-curves
454,,,,,,,,,8591050281-light-curves
455,,,,,,,,,429497519462-light-curves
456,,,,,,,,,188979435390-light-curves
457,,,,,,,,,661425866918-light-curves
458,,,,,,,,,661426924734-light-curves
459,,,,,,,,,206159768314-light-curves
460,,,,,,,,,111670487124-light-curves
461,,,,,,,,,661430844819-light-curves
462,,,,,,,,,532576370875-light-curves
463,,,,,,,,,661430607288-light-curves
464,,,,,,,,,309237842569-light-curves
465,,,,,,,,,661426836493-light-curves
466,,,,,,,,,369368058737-light-curves
467,,,,,,,,,60129725416-light-curves
468,,,,,,,,,661430708832-light-curves
469,,,,,,,,,661427361404-light-curves
470,,,,,,,,,171799907181-light-curves
471,,,,,,,,,309238507041-light-curves
472,,,,,,,,,386547650763-light-curves
473,,,,,,,,,592705531104-light-curves
474,,,,,,,,,661434591992-light-curves
475,,,,,,,,,326417559743-light-curves
476,,,,,,,,,661434926389-light-curves
477,,,,,,,,,77310897231-light-curves
478,,,,,,,,,661426416454-light-curves
479,,,,,,,,,360777468754-light-curves
480,,,,,,,,,472446559705-light-curves
481,,,,,,,,,335007911354-light-curves
482,,,,,,,,,661427504851-light-curves
483,,,,,,,,,197568605368-light-curves
484,,,,,,,,,661430481377-light-curves
485,,,,,,,,,661426887506-light-curves
486,,,,,,,,,661434926390-light-curves
487,,,,,,,,,661434926451-light-curves
488,,,,,,,,,146030283693-light-curves
489,,,,,,,,,661431755220-light-curves
490,,,,,,,,,661432315454-light-curves(1)
491,,,,,,,,,661425757641-light-curves
492,,,,,,,,,661432316377-light-curves
493,,,,,,,,,34360708791-light-curves
494,,,,,,,,,661425709118-light-curves
495,,,,,,,,,214749149546-light-curves
496,,,,,,,,,661434926526-light-curves
497,,,,,,,,,661431011923-light-curves
498,,,,,,,,,661430766980-light-curves
499,,,,,,,,,661427507123-light-curves
500,,,,,,,,,661426872899-light-curves
501,,,,,,,,,575526427728-light-curves
502,,,,,,,,,661434926363-light-curves
503,,,,,,,,,661426087145-light-curves
504,,,,,,,,,661430787888-light-curves
505,,,,,,,,,609885844631-light-curves
506,,,,,,,,,120259913756-light-curves
507,,,,,,,,,335007899310-light-curves
508,,,,,,,,,128849654396-light-curves
509,,,,,,,,,206159593365-light-curves
510,,,,,,,,,661434661067-light-curves
511,,,,,,,,,661431842747-light-curves
512,,,,,,,,,429497017863-light-curves
513,,,,,,,,,429497434803-light-curves
514,,,,,,,,,188979440585-light-curves
515,,,,,,,,,541166012277-light-curves
516,,,,,,,,,137439048004-light-curves
517,,,,,,,,,661436966717-light-curves(7)
518,,,,,,,,,661432034184-light-curves
519,,,,,,,,,68720187391-light-curves
520,,,,,,,,,661425891950-light-curves
521,,,,,,,,,661430304024-light-curves
522,,,,,,,,,661432028941-light-curves
523,,,,,,,,,661434926403-light-curves
524,,,,,,,,,661431833080-light-curves
525,,,,,,,,,661427420885-light-curves
526,,,,,,,,,352188525834-light-curves
527,,,,,,,,,472446490687-light-curves
528,,,,,,,,,429497105455-light-curves
529,,,,,,,,,661426153726-light-curves
530,,,,,,,,,68720692255-light-curves
531,,,,,,,,,335007866823-light-curves
532,,,,,,,,,326418214322-light-curves
533,,,,,,,,,661430798925-light-curves
534,,,,,,,,,661434889828-light-curves
535,,,,,,,,,257698784386-light-curves
536,,,,,,,,,644246079496-light-curves
537,,,,,,,,,661426325151-light-curves
538,,,,,,,,,463857298025-light-curves
539,,,,,,,,,231929178017-light-curves
540,,,,,,,,,661431899198-light-curves
541,,,,,,,,,661434592332-light-curves
542,,,,,,,,,661431156648-light-curves
543,,,,,,,,,661434876349-light-curves
544,,,,,,,,,661431620146-light-curves
545,,,,,,,,,274878824533-light-curves
546,,,,,,,,,661434964200-light-curves
547,,,,,,,,,661431145421-light-curves
548,,,,,,,,,644245999752-light-curves
549,,,,,,,,,661426578548-light-curves
550,,,,,,,,,661434925573-light-curves
551,,,,,,,,,661430528264-light-curves
552,,,,,,,,,575525941361-light-curves
553,,,,,,,,,309238172165-light-curves
554,,,,,,,,,609886275236-light-curves
555,,,,,,,,,661427476258-light-curves
556,,,,,,,,,661430596312-light-curves
557,,,,,,,,,661428682820-light-curves
558,,,,,,,,,661430536844-light-curves
559,,,,,,,,,661425862137-light-curves(1)
560,,,,,,,,,223338878198-light-curves
561,,,,,,,,,661426742962-light-curves
562,,,,,,,,,661425735690-light-curves
563,,,,,,,,,661431019457-light-curves
564,,,,,,,,,661426434481-light-curves
565,,,,,,,,,661428698000-light-curves
566,,,,,,,,,385321-light-curves
567,,,,,,,,,532576447449-light-curves
568,,,,,,,,,472447187288-light-curves
569,,,,,,,,,206158963436-light-curves
570,,,,,,,,,661427248471-light-curves
571,,,,,,,,,661430985016-light-curves
572,,,,,,,,,661425713138-light-curves
573,,,,,,,,,51540107272-light-curves
574,,,,,,,,,661434875660-light-curves
575,,,,,,,,,317828776224-light-curves
576,,,,,,,,,214749641841-light-curves
577,,,,,,,,,661434926361-light-curves
578,,,,,,,,,231928831556-light-curves
579,,,,,,,,,601296011683-light-curves
580,,,,,,,,,120260119268-light-curves
581,,,,,,,,,592706382034-light-curves
582,,,,,,,,,309237882791-light-curves
583,,,,,,,,,661434955968-light-curves
584,,,,,,,,,103080170227-light-curves
585,,,,,,,,,360777733884-light-curves
586,,,,,,,,,661430355787-light-curves
587,,,,,,,,,549756880980-light-curves
588,,,,,,,,,661431980705-light-curves
589,,,,,,,,,274879049923-light-curves
590,,,,,,,,,300648469565-light-curves
591,,,,,,,,,661426174068-light-curves
592,,,,,,,,,180389853998-light-curves
593,,,,,,,,,94489833758-light-curves
594,,,,,,,,,661430603624-light-curves
595,,,,,,,,,206158613991-light-curves
596,,,,,,,,,377957721176-light-curves
597,,,,,,,,,309237960466-light-curves
598,,,,,,,,,438086788307-light-curves
599,,,,,,,,,661430550236-light-curves
600,,,,,,,,,661426060011-light-curves
601,,,,,,,,,42950074585-light-curves
602,,,,,,,,,661427073806-light-curves
603,,,,,,,,,386548015948-light-curves
604,,,,,,,,,206158654388-light-curves
605,,,,,,,,,77310901079-light-curves(1)
606,,,,,,,,,77309898922-light-curves
607,,,,,,,,,274878511783-light-curves
608,,,,,,,,,661426903108-light-curves
609,,,,,,,,,661425631627-light-curves
610,,,,,,,,,566936371740-light-curves
611,,,,,,,,,128849747517-light-curves
612,,,,,,,,,51540654667-light-curves
613,,,,,,,,,386547827015-light-curves(1)
614,,,,,,,,,661434926404-light-curves
615,,,,,,,,,661430466713-light-curves
616,,,,,,,,,661431227142-light-curves
617,,,,,,,,,661431331397-light-curves
618,,,,,,,,,661430544859-light-curves
619,,,,,,,,,661434926455-light-curves
620,,,,,,,,,120260528709-light-curves
621,,,,,,,,,77310352366-light-curves
622,,,,,,,,,661431962788-light-curves
623,,,,,,,,,188979684833-light-curves
624,,,,,,,,,661430666992-light-curves
625,,,,,,,,,274878651316-light-curves
626,,,,,,,,,60130244210-light-curves
627,,,,,,,,,146029000508-light-curves(1)
628,,,,,,,,,429497522354-light-curves
629,,,,,,,,,171799557239-light-curves
630,,,,,,,,,661430830330-light-curves
631,,,,,,,,,661431261272-light-curves
632,,,,,,,,,661426286179-light-curves
633,,,,,,,,,661431935631-light-curves
634,,,,,,,,,661434951593-light-curves
635,,,,,,,,,60129806606-light-curves
636,,,,,,,,,68720524037-light-curves
637,,,,,,,,,103080287250-light-curves
638,,,,,,,,,661427390591-light-curves
639,,,,,,,,,257698138745-light-curves
640,,,,,,,,,77309483554-light-curves
641,,,,,,,,,506806667357-light-curves
642,,,,,,,,,609885962775-light-curves
643,,,,,,,,,240518562154-light-curves
644,,,,,,,,,223338664205-light-curves
645,,,,,,,,,661426147910-light-curves
646,,,,,,,,,17180498715-light-curves
647,,,,,,,,,60130576030-light-curves
648,,,,,,,,,661427321258-light-curves
649,,,,,,,,,206159309777-light-curves
650,,,,,,,,,661425836446-light-curves
651,,,,,,,,,103080360677-light-curves
652,,,,,,,,,644245439857-light-curves
653,,,,,,,,,661431602809-light-curves
654,,,,,,,,,661434643775-light-curves
655,,,,,,,,,420907943438-light-curves
656,,,,,,,,,661425627183-light-curves
657,,,,,,,,,103080601382-light-curves
658,,,,,,,,,661431176356-light-curves
659,,,,,,,,,661426084234-light-curves
660,,,,,,,,,661430607294-light-curves
661,,,,,,,,,661425931586-light-curves
662,,,,,,,,,661430839455-light-curves
663,,,,,,,,,584115729835-light-curves-V1
664,,,,,,,,,85900600165-light-curves
665,,,,,,,,,661427507409-light-curves
666,,,,,,,,,661429432876-light-curves
667,,,,,,,,,661429062186-light-curves
668,,,,,,,,,661434590005-light-curves
669,,,,,,,,,661432032136-light-curves
670,,,,,,,,,661426107469-light-curves
671,,,,,,,,,360778024714-light-curves
672,,,,,,,,,661430520282-light-curves
673,,,,,,,,,635656070242-light-curves
674,,,,,,,,,601295933904-light-curves
675,,,,,,,,,274879028540-light-curves
676,,,,,,,,,274879109453-light-curves
677,,,,,,,,,661425998310-light-curves
678,,,,,,,,,103079623912-light-curves
679,,,,,,,,,609886273545-light-curves
680,,,,,,,,,377958247505-light-curves
681,,,,,,,,,661431559848-light-curves
682,,,,,,,,,120259275229-light-curves
683,,,,,,,,,197569150839-light-curves
684,,,,,,,,,661430330422-light-curves
685,,,,,,,,,661432029886-light-curves
686,,,,,,,,,661437549396-light-curves
