,name,ID,ra,dec
318,NGC 4507,661430499735,12 35 36.5,-39 54 33
319,UGC  3478,103080082019,06 32 47.5,+63 40 23
320,ESO 420-G13,661425703547,04 13 49.7,-32 00 24
321,NGC 4785,661425628726,12 53 26.8,-48 45 03
322,NGC 5211,661432031876,13 33 05.3,-01 02 09
323,IC 2202,644245485768,07 27 54.0,-67 34 27
324,NGC  454E,592705648419,01 14 23.1,-55 23 51
325,SDSS J08375+2842,120259913756,08 37 32.7,+28 42 18
326,IRAS 00227+6805,661427494393,00 25 32.8,+68 21 43
327,IGR J00256+6821,-1,00 23 32.5,+68 21 44
328,NGC 3171,661431056662,10 15 36.8,-20 38 50
329,UGC 11630,-1,20 47 34.1,+00 24 41
330,MCG +01.27.020,188978856430,10 36 35.8,+05 54 38
331,NGC 3393,661425749112,10 48 23.4,-25 09 44
332,MCG -04.30.034,-1,12 52 14.8,-26 18 14
333,NGC 1961,661430398603,05 42 05.4,+69 22 42
334,NGC 3497,661431102802,11 07 18.1,-19 28 17
335,NPM1G-18.0288,395138204954,08 58 28.2,-18 47 16
336,NGC 3798,249108129410,11 40 13.9,+24 41 49
337,NGC  788,377958410970,02 01 06.5,-06 48 56
338,Zw 374.029,377957937034,20 55 22.3,+02 21 17
339,NGC 1050,661432032136,02 42 35.7,+34 45 46
340,NGC 5135,661430495144,13 25 44.0,-29 50 02
341,SDSS J03302-0532,-1,03 30 13.2,-05 32 35
342,SDSS J14571+4940,661427301122,14 57 06.8,+49 40 08
343,UGC  2936,661426149386,04 02 48.3,+01 57 55
344,MARK 1210,661430498125,08 04 05.9,+05 06 50
345,ESO 506-G04,661432030505,12 21 49.0,-24 10 05
346,MARK  766,137440053666,12 18 26.5,+29 48 47
347,NGC  835,661425856286,02 09 24.6,-10 08 11
348,NGC 4169,661426880762,12 12 18.9,+29 10 46
349,SDSS J12380+0009,-1,12 38 01.6,+00 09 03
350,NGC  833,661430347389,02 09 20.9,-10 07 59
351,MARK  391,34359796517,08 54 46.4,+39 32 19
352,ESO 362-G18,575526122427,05 19 35.8,-32 39 27
353,Zw 063.060,369367876403,09 45 29.3,+09 36 10
354,NGC 1241,661425872429,03 11 14.7,-08 55 19
355,NGC 5990,661431352697,15 46 16.5,+02 24 56
356,IC 4200,575525929116,13 09 34.7,-51 58 04
357,NGC 7672,661431616722,23 27 31.4,+12 23 06
358,MCG +04.48.002,661431507960,20 28 35.0,+25 44 00
359,MCG -01.13.025,-1,04 51 41.6,-03 48 34
360,NGC 5140,661432314802,13 26 21.7,-33 52 06
361,ESO 383-G18,635655364086,13 33 26.0,-34 00 56
362,NGC 1358,661430795029,03 33 39.7,-05 05 22
363,4U 1344-60,661429062905,13 47 36.0,-60 37 03
364,G 1314-1532,-1,13 17 27.0,-15 48 21
365,IC 4296,661425693827,13 36 39.0,-33 57 58
366,Q 2207+0122,661426139396,22 10 29.9,+01 37 07
367,NGC 2989,661425791542,09 45 25.2,-18 22 26
368,IC 1368,661426155702,21 14 12.6,+02 10 40
369,MARK  703,309238494016,08 58 50.6,+06 17 33
370,ESO 103-G35,644245938712,18 38 20.5,-65 25 39
371,NGC 1194,661426025490,03 03 49.2,-01 06 15
372,ESO 500-G34,661425757641,10 24 31.5,-23 33 10
373,MARK 1414,661430985016,08 50 31.6,-03 05 58
374,NGC 1685,661425974317,04 52 34.2,-02 56 57
375,IGR J11366-6002,661425590892,11 36 42.1,-60 03 07
376,F   51,-1,18 44 54.0,-62 21 53
377,IC 4729,635655773241,18 39 57.1,-67 25 32
378,NGC 5124,240518563849,13 24 50.3,-30 18 28
379,ESO 267-013,661431154940,12 04 52.9,-43 43 53
380,IGR J20187+4041,661427139791,20 18 38.8,+40 41 00
381,NGC 4748,661432321888,12 52 12.4,-13 24 53
382,MARK  348,137439881045,00 48 47.2,+31 57 25
383,PKS 1718-649,661431808680,17 23 40.9,-65 00 36
384,NGC 5635,214748622165,14 28 31.9,+27 24 31
385,NGC 2617,661432034184,08 35 38.8,-04 05 19
386,NGC 5675,661427050381,14 32 39.9,+36 18 09
387,SDSS J08548+5740,661430988687,08 54 49.2,+57 40 12
388,ESO 436-G26,274878278625,10 28 43.0,-31 02 17
389,PKS 1306-241,661425753211,13 08 41.8,-24 22 57
390,MARK    3,661427501748,06 15 36.3,+71 02 15
391,NGC 5318,34360531722,13 50 36.0,+33 42 17
392,UGC 11221B,128849543818,18 22 05.1,+66 37 19
393,IGR J21277+5656,661427400323,21 27 44.9,+56 56 40
394,SDSS J09086+3235,17180195489,09 08 38.4,+32 35 34
395,NGC 2258,661430910009,06 47 45.8,+74 28 54
396,NGC  237,661430669497,00 43 27.9,-00 07 32
397,MCG -02.13.024,-1,04 56 37.3,-10 13 08
398,IRAS 11215-2806,532576447449,11 24 02.8,-28 23 15
399,MCG +00.11.002,-1,03 57 58.7,-00 11 26
400,MARK  686,661427055793,14 37 22.1,+36 34 04
401,SDSS J17303+5936,661434943252,17 30 19.1,+59 36 08
402,NGC 1204,661425836446,03 04 40.0,-12 20 29
403,NGC 5291,231928827015,13 47 24.5,-30 24 25
404,Q 0851+5625,661434926411,08 55 32.5,+56 13 52
405,Zw 308.017,137439048004,06 16 42.1,+66 30 24
406,MCG -02.08.033,-1,02 57 49.6,-10 10 07
407,NGC 1667,661425912524,04 48 37.2,-06 19 12
408,MARK  945,214749086449,00 25 54.8,-03 25 15
409,MARK 1419,661431025953,09 40 36.4,+03 34 37
410,SDSS J07350+3249,661426970912,07 35 02.3,+32 49 19
411,ESO 565-G19,661425767075,09 34 43.8,-21 55 42
412,NGC 2650,51539733744,08 49 58.4,+70 17 57
413,IC 1768,429497017863,02 00 49.9,-25 01 35
414,SDSS J15528+4038,111669825173,15 52 52.8,+40 38 48
415,UGC  3995,42949996625,07 44 09.1,+29 14 49
416,SDSS J10026+6422,661434964200,10 02 39.5,+64 22 20
417,UGC  3351,661427420733,05 45 47.8,+58 42 03
418,NGC 1614,661430355787,04 33 59.8,-08 34 44
419,NGC 6812,661431492417,19 45 24.3,-55 20 48
420,ESO 404-G032,661425693082,22 08 28.3,-34 06 22
421,MARK 1510,661431280514,14 17 58.6,+26 24 47
422,ESO 323-G77,-1,13 06 26.2,-40 24 52
423,NGC  266,661430331765,00 49 48.0,+32 16 40
424,NGC 2578,661425829079,08 21 24.3,-13 19 04
425,WKK 3646,-1,15 04 37.6,-68 00 00
426,Q J0641-5119,-1,06 41 11.3,-51 19 12
427,MARK 1158,661432297128,01 34 59.5,+35 02 22
428,NGC 4495,661431180991,12 31 22.9,+29 08 11
429,ESO 104-G11,601296372201,18 47 44.0,-63 09 23
430,MCG -06.23.038,-1,10 29 45.6,-38 20 55
431,IC 1813,661430753060,02 30 49.5,-34 13 14
432,NGC 1713,661430844819,04 58 54.6,-00 29 20
433,IGR J02504+5443,661427373041,02 50 42.6,+54 42 18
434,NGC 6860,652835427803,20 08 47.1,-61 06 00
435,NGC 4726,661434610486,12 51 32.3,-14 13 17
436,NGC 5292,34360275632,13 47 40.1,-30 56 21
437,IC 4597,661432029886,16 17 39.8,-34 21 57
438,ESO 136-G006,661432315454,15 53 35.3,-61 40 58
439,MARK  352,120260119268,00 59 53.3,+31 49 37
440,MCG -02.09.040,-1,03 25 04.9,-12 18 07
441,ESO 136-G06,661432315454,14 11 57.2,-61 46 10
442,MCG -02.27.009,-1,10 35 27.3,-14 07 07
443,NVSS J10077-3511,-1,10 07 42.3,-35 11 00
444,SDSS J14005+0838,661437404807,14 00 31.1,+08 38 59
445,NGC  841,661430735810,02 11 17.3,+37 29 49
446,RXS J05215+6718,661427490093,05 21 34.6,+67 18 07
447,ESO 548-G81,446677648638,03 42 03.6,-21 14 37
448,NGC 3035,377958399530,09 51 55.0,-06 49 23
449,NPM1G-08.0177,532576370875,04 40 55.0,-08 22 22
450,SDSS J09505+4418,103080601382,09 50 33.2,+44 18 51
451,1H 2044-032,661434926502,20 47 11.6,-03 04 00
452,MARK 1157,8591150560,01 33 31.2,+35 40 05
453,NGC 5664,661425819427,14 33 43.5,-14 37 11
454,SBS 1221+585,146029798574,12 23 42.8,+58 14 46
455,MCG -04.23.014,-1,09 45 17.2,-27 24 21
456,SDSS J01565-0032,-1,01 56 35.5,-00 32 02
457,Q 1638+4629,661434926489,16 40 03.4,+46 23 26
458,CXOU J221313-2204,-1,22 13 13.0,-22 04 25
459,MARK  461,137439396643,13 47 17.7,+34 08 56
460,UGC  3157,309238565982,04 46 29.7,+18 27 40
461,ESO 417-G06,661425702367,02 56 21.5,-32 11 06
462,NPM1G-04.0195,309238755424,04 28 26.1,-04 33 49
463,NGC  973,661426963288,02 34 20.1,+32 30 20
464,SDSS J23123+1436,369368150655,23 12 21.4,+14 36 33
465,NGC 2945,498216395641,09 37 41.1,-22 02 06
466,3C 278,-1,12 54 36.1,-12 33 48
467,MARK 1040,94489891488,02 28 14.4,+31 18 41
468,AKN  539,42949853636,18 28 48.1,+50 22 21
469,UM 319,661425999669,01 23 21.2,-01 58 36
470,MARK    1,94490650061,01 16 07.2,+33 05 22
471,MCG -04.52.019,-1,22 10 53.3,-25 04 22
